,birthday,known_for_department,deathday,id,name,gender,biography,place_of_birth,profile_path
582,1956-05-19,Acting,,9258,Steven Ford,2,,"East Grand Rapids, Michigan, USA",/iw8CUyekmYkGwmg0bp7foY4KvrH.jpg
583,1957-08-09,Acting,,29369,Melanie Griffith,1,"Melanie Richards Griffith (born August 9, 1957) is an American actress. Griffith began her career as an adolescent in nonspeaking film roles before making her credited debut opposite Gene Hackman in Arthur Penn's Night Moves (1975). She rose to prominence for her role in Brian De Palma's Body Double (1984), which earned her a National Society of Film Critics Award for Best Supporting Actress. Griffith's subsequent performance in Something Wild (1986) garnered critical acclaim before she was cast in 1988's Working Girl, which earned her a nomination for the Academy Award for Best Actress and won her a Golden Globe.

The 1990s saw Griffith in a series of roles which received varying critical reception: she received Golden Globe nominations for her performances in Buffalo Girls (1995), and as Marion Davies in RKO 281 (1999), while also earning a Golden Raspberry Award for Worst Actress for her performances in Shining Through (1992), as well as receiving nominations for Crazy in Alabama (1999) and John Waters' cult film Cecil B. Demented (2000). Other roles include in John Schlesinger's Pacific Heights (1990), Milk Money (1994), the neo-noir film Mulholland Falls (1996), as Charlotte Haze in Adrian Lyne's Lolita (1997), and Another Day in Paradise (1998).

She later starred as Barbara Marx in The Night We Called It a Day (2003), and has appeared on the television series Nip/Tuck, Raising Hope, and Hawaii Five-0. After acting on stage in London, in 2003 she made her Broadway debut in a revival of the musical Chicago, receiving celebratory reviews that made it a box office success.","Manhattan, New York City, New York, USA",/rdRjFsPQDQqPE8JlDQcuT5JDpED.jpg
584,,Acting,,1407052,Joan Glover,0,,,
585,1955-06-30,Acting,,58563,David Alan Grier,2,"David Alan Grier is an American comedian and film and television actor, best known for his work on the sketch comedy television show ""In Living Color"".","Detroit, Michigan, USA",/2xs9NuHWIm8ML8SF5o2W6UAMoZd.jpg
586,,Acting,,1558263,Julie Araskog,0,,,/cn1npisXBe9oGdEDjkjdeDk6NwC.jpg
587,,Acting,,1089510,Johnny Vatos Hernandez,0,,,/sa5E5M5WLTLCFdwdVb1vSHnIPYx.jpg
588,1940-08-31,Acting,,12536,Jack Thompson,2,"​From Wikipedia, the free encyclopedia.

Jack Thompson, AM (born 31 August 1940) is an Australian actor and one of the major figures of Australian cinema. He was educated at the University of Queensland, before embarking on his acting career. In 2002, he was made an honorary member of the Australian Cinematographers Society (ACS). He is best known as a lead actor in several acclaimed Australian films including such classics as Wake in Fright (1971), Sunday Too Far Away (1975), The Man from Snowy River (1982) and Breaker Morant (1980). He won Cannes and AFI acting awards for the latter film. He was the recipient of a Living Legend Award at the 2005 Inside Film Awards.

Description above from the Wikipedia article Jack Thompson, licensed under CC-BY-SA, full list of contributors on Wikipedia","Sydney, New South Wales, Australia",/2cs9DVhbvuccZFNIdyNyQJQQP4y.jpg
589,,Acting,,74939,Stephen Dignan,0,,,
590,1961-12-16,Acting,,8213,Sam Robards,2,"Sam Robards was born on December 16, 1961 in New York City, New York, USA as Sam Prideaux Robards. He is an actor and producer, known for American Beauty (1999), A.I. Artificial Intelligence (2001) and Awake (2007). He has been married to Sidsel Jensen since November 8, 1997. They have two children. He was previously married to Suzy Amis.",New York City - New York - USA,/xBfl2c80eQtbjKTH6dOwFBnFlE7.jpg
591,1970-10-02,Acting,,10130,Catherine Kellner,1,"An American character actress, perhaps best known for appearing in Daft Punk's music-video for their song Da Funk.

Courtesy Wikipedia®",,/hmOfknife4GM8oHRqbsMUC03d4W.jpg
592,1947-06-29,Acting,,6105,Richard Lewis,2,"From Wikipedia, the free encyclopedia.

Richard Philip Lewis (born June 29, 1947) is an American comedian and actor.",Brooklyn - New York - USA,/3FXeKupG6T32AXZ4mAh9XqIGfiu.jpg
593,1956-11-30,Acting,,8435,Stephen Dillane,2,Stephen Dillane (born 30 November 1956) is an English actor. He won a Tony Award for his lead performance in Tom Stoppard's play The Real Thing.,"London, England, UK",/4LOq4XUIsUTO1VdwqL1BWZIMRL3.jpg
594,1936-08-20,Acting,,1163,Miriam Colón,1,"From Wikipedia, the free encyclopedia

Míriam Colón (born August 20, 1936) is a Puerto Rican actress and the founder and director of the Puerto Rican Traveling Theater in New York City.

Description above from the Wikipedia article Míriam Colón, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Ponce, Puerto Rico",/vNKUyJKVIvAmXT6pv0vWrZXazlS.jpg
595,1946-03-29,Acting,,58535,Paul Herman,2,,"Brooklyn, New York,  USA",/vaK8wxkMeKJdZEdGUufyV0Ma24M.jpg
596,1934-01-17,Acting,2016-06-23,1183497,Stuart Nisbet,2,,"Los Angeles, California, USA",
597,1961-04-03,Acting,,776,Eddie Murphy,2,"Edward ""Eddie"" Regan Murphy (born April 3, 1961) is an American actor, voice actor, film director, producer, comedian and singer.

He is the second-highest grossing actor in motion picture history. He was a regular cast member on Saturday Night Live from 1980 to 1984, and has worked as a stand-up comedian. He was ranked #10 on Comedy Central's list of the 100 Greatest Stand-ups of All Time. He has received Golden Globe Award nominations for Golden Globe Award for New Star of the Year - Actor for his performance in 48 Hrs and best actor in a comedy or musical for his performances in Beverly Hills Cop, Trading Places, and The Nutty Professor. In 2007, he won the Golden Globe for Best Supporting Actor for his portrayal of soul singer James ""Thunder"" Early in Dreamgirls, and received a nomination for the Academy Award for Best Supporting Actor for the same role. Murphy's work as a voice actor includes Thurgood Stubbs in The PJs, Donkey in the Shrek series and the dragon Mushu in Disney's Mulan. In some of his films, he plays multiple roles in addition to his main character, intended as a tribute to one of his idols Peter Sellers, who played multiple roles in Dr. Strangelove and elsewhere. Murphy has played multiple roles in Coming to America, Wes Craven's Vampire In Brooklyn, the Nutty Professor films (where he played the title role in two incarnations, plus his father, brother, mother, and grandmother), Bowfinger, and 2007's Norbit.","Brooklyn, New York, USA",/bsi706zdqs0KAPdOsqz6AkLNcFF.jpg
598,1969-07-11,Acting,,98087,Kellita Smith,1,"Kellita Smith (born January 15, 1969)  is an American comedian, model and actress. Smith is perhaps best known for her role as Wanda McCullough, Bernie Mac's wife in the FOX sitcom The Bernie Mac Show which originally ran from 2001 to 2006.

Born in Chicago, Illinois, Smith was raised in Oakland, California. Smith studied at Santa Rosa Junior College, receiving her associate degree in political science.

In early years, Smith worked as a model. Smith began her acting career on stage in a regional production of Tell It Like It Tiz. Other theatrical credits include the Los Angeles productions of No Place to be Somebody at the K.C. Theatre Company, Feelings (The Hudson Theatre) for which she won an NAACP Theatre Award for Best Supporting Actress in 1996, The Thirteenth Thorn (Complex Theatre) for which she was nominated for an NAACP Theatre Award for Best Actress, and One Woman Two Lives, which premiered at The Imagined Life Theater in July 2009.

On television, Smith made her debut in an episode of In Living Color and later guest-starred on Living Single, Moesha, 3rd Rock from the Sun, The Parkers and NYPD Blue. She had the recurring roles in Martin, Sister, Sister, Malcolm & Eddie and The Jamie Foxx Show. In 2001 she was cast opposite Bernie Mac in the Fox sitcom The Bernie Mac Show. The series aired on Fox for five seasons from 2001 to 2006. She was nominated four times for a NAACP Image Award for her role as Wanda McCullough on The Bernie Mac Show. In film, Smith co-starred alongside Mo'Nique in the Hair Show (2004), and later appeared in Fair Game, King's Ransom, Roll Bounce and Three Can Play That Game.

In 2012, Smith returned to television with the role of First Lady Katherine Johnson in the syndicated sitcom, The First Family. In 2014, Smith was cast as Roberta Warren in the Syfy post-apocalyptic series, Z Nation. In this role, she also appeared on Sharknado 3: Oh Hell No! in 2015.","Chicago, Illinois, U.S.",/9TFf7JHih0faZ28zVPAmDwvI4KT.jpg
599,1942-01-01,Acting,,55911,Billy J. Mitchell,2,Billy J. Mitchell was born in 1942. He is an actor.,,/1AoXhTz9DvGNrrdqEV9oeHsl2HU.jpg
600,1930-10-01,Acting,2006-11-23,24366,Philippe Noiret,2,Philippe Noiret (born 1 October 1930 in Lille – died 23 November 2006 in Paris) was a French film actor.,"Lille, Nord, France",/13vb0RuOI0t8I1y04pnz81vLptl.jpg
601,1946-12-29,Acting,,19995,Marianne Faithfull,1,"Daughter of Eva, the Baroness Erisso, and Major Glynn Faithfull, a WWII British spy. Recorded the first song written by Mick Jagger and Keith Richards, ""As Tears Go By"" (1964). Involved in a major drug scandal with Jagger, Richards and others, which ultimately turned public opinion favorably towards the 'Rolling Stones' and other rock groups. In the 70's she became addicted to heroin and was homeless in London's Soho district for a couple of years. Recorded numerous albums in the 80's, while struggling with cocaine and alcohol. Has remained sober and productive since.","Hampstead, London, England, UK ",/sVWt2U1im7YZcCVlW6YF9RT5yZR.jpg
602,,Acting,,58474,Anthony Russell,2,,,/pEDgSXNYJpqkKFxjUywDYn7pKBE.jpg
603,,Acting,,1463362,Codie Scott,0,,,
604,1968-03-04,Acting,,14326,Patsy Kensit,1,"From Wikipedia, the free encyclopedia.

Patricia Jude Francis ""Patsy"" Kensit (born 4 March 1968) is an English actress, singer and former child star, known for her television and film appearances. Her films include Lethal Weapon 2 and she has been married to rock stars Jim Kerr and Liam Gallagher, as well as herself fronting the band Eighth Wonder. In May 2004 she returned to television acting, taking the role of Sadie King in the ITV soap opera Emmerdale.

Description above from the Wikipedia article Patsy Kensit, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Hounslow, Greater London, England, UK",/fp8059ZLrCiZFgdhcwHTHHe6kBr.jpg
605,1952-04-15,Acting,2010-09-07,13243,Glenn Shadix,2,,"Bessemer, Alabama, USA",/n8jN66HVN4vjXKvZsOMkbTrJXH6.jpg
606,,Acting,,1483451,June Lion,0,,,
607,1957-02-26,Acting,,1634657,Amanda Hillwood,1,"Hillwood is the daughter of Mark and Angela Smith (née Angela Hill-Wood, granddaughter of Sir Samuel Hill-Wood, 1st Baronet).Through her mother, she is a descendant of James Hamilton, 5th Duke of Hamilton, and thus, due to the special remainder of that title, is distantly in line for the Duke of Hamilton.

Hillwood is best known for her roles as Lyn Turtle in the BBC TV series A Very Peculiar Practice and as Doctor Grayling Russell in the TV series Inspector Morse.

She is married to Canadian American actor Matt Frewer (best known for playing the title role in Max Headroom). They have one daughter.

Hillwood divides her time between Frewer in Malibu, California, and the Gatineau Hills of Quebec.",United Kingdom,/cAp6xIa4g4futvhYzz70xQysjGE.jpg
608,1957-12-12,Directing,,38527,Robert Lepage,2,"Robert Lepage, CC OQ is a Québécois playwright, actor, film director, and stage director, one of Canada's most honoured theatre artists.","Québec City, Québec, Canada",/cUY9nwa2SDMtHIMqaM9FM6O3l5B.jpg
609,1946-12-10,Acting,,35908,Catherine Hiegel,0,,,/y3vJ3bVR0Bnic0onWEGP89a9g0i.jpg
610,1927-11-01,Acting,2010-12-04,93952,Danny Daniels,2,,"Georgetown, British Guiana",/knv13MGU8P3moOjEGn1fy6Bmt1Q.jpg
611,1962-12-25,Acting,,64057,Dean Cameron,2,"From Wikipedia, the free encyclopedia.

Dean Cameron (born Dean Eikleberry on December 25, 1962, in Morrison, Illinois) is an American television and film actor. He is best known for his role as Francis ""Chainsaw"" Gremp in the 1987 Mark Harmon comedy Summer School.

Dean has starred in some short-lived television series like Spencer (1984), Fast Times (1986, a spinoff of the 1982 film Fast Times at Ridgemont High), They Came from Outer Space (1990), and Mister Sterling (2003).

He has made guest appearances on many TV series, including The Facts of Life, ALF, My Sister Sam, Will &amp; Grace, ER, and Felicity.

Played Dave Marshak in Ski School and Ski School II.

Married to Jessie Marion, granddaughter of Elena Verdugo and lives in Los Angeles. Their son, Duncan, was born August 1, 2009. He plays bass guitar in a band called ""The Thornbirds"" and a karaoke band poking fun at Corey Haim, Corey Feldman and Corey Hart called Coreyoke.

Tours with a two-person show entitled The Nigerian Spam Scam Scam, in which he and actor Victor Isaac read from Cameron's 11 month correspondence with a Nigerian 419 Scammer. The show was performed at the Edinburgh Fringe Comedy Festival in 2004 and 2005, the Just For Laughs festival and the Upright Citizens Brigade theater in 2006 and ran in Los Angeles from September 2004 to December 2004.

Co-wrote the 2001 feature film, Hollywood Palms, wrote and directed a short film, Glutton Falls and directed/choreographed ""Bukowsical"", a sell-out late night musical theater parody at the Sacred Fools Theater in Los Angeles, California. Cameron also directed the video ""Fat Girl"" for heavy metal band Steel Panther as well as co-wrote the song ""Girl From Oklahoma"" on their 2009 debut Feel the Steel.

Since late 1999, has made a living as voice over talent for radio and television commercials.

In 2006, he originated the role of Carl in Love Tapes, a play based on video tapes sent by a fan to guitarist Steve Vai. Love Tapes was written by Steven Banks and Penn Jillette and directed by Cameron's wife, Jessie Marion.",Morrison - Illinois - USA,/hrATK7lU4dO6MQy2jkVFXlrnlrj.jpg
612,,Acting,,1052883,Jonathan Baumbach,0,,,
613,1959-09-23,Acting,,1206,Jason Alexander,2,"From Wikipedia, the free encyclopedia.

Jay Scott Greenspan (born September 23, 1959), better known by his professional name of Jason Alexander, is an American actor, writer, comedian, television director and producer, and singer. He is best known for his role as George Costanza on the television series Seinfeld, appearing in the sitcom from 1989 to 1998. He also has had an active career on the stage, appearing in several Broadway musicals including Jerome Robbins' Broadway in 1989, for which he won the Tony Award as Best Actor in a Musical. He appeared in the Los Angeles production of The Producers with Martin Short. He is the Artistic Director of ""Reprise! Broadway's Best in Los Angeles,"" where he has directed several musicals. Alexander is also an avid poker player.",Newark - New Jersey - USA,/ernpSXp2RnkzeV14OEEKXRq1yND.jpg
614,1949-09-19,Acting,,69415,Ernie Sabella,2,"Ernest Sabella (born September 19, 1949) is an American actor and voice actor, who is best known for his role as the voice of Pumbaa from The Lion King franchise. He is also known for his work in Broadway theatre, including starring roles in Guys and Dolls and Man of La Mancha.","Westchester, New York, USA",/nwdAp8FacfZ1eRU7gNkOwWvDqnc.jpg
615,,Acting,,91031,Zachary Chaltiel,0,,,
616,,Acting,,2103680,Shashi Bhatia,1,,,
617,,Acting,,1229258,Charles Bartlett,0,,,
618,1964-11-02,Acting,,141610,Lauren Vélez,1,"Lauren Vélez (born November 2, 1964) is an American actress of Puerto Rican descent and the twin sister of actress Loraine Vélez. Her most notable roles are as Maria LaGuerta on Dexter, Detective Nina Moreno on Fox's New York Undercover, and Dr. Gloria Nathan on HBO's controversial jail drama, Oz.

Description above from the Wikipedia article Lauren Vélez, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Brooklyn, New York, United States",/xZiNlLg9E2zgRSewE1BeWUlaqYO.jpg
619,1962-09-25,Acting,,106791,Aida Turturro,0,"​From Wikipedia, the free encyclopedia.  

Aida Turturro (born September 25, 1962) is an American actress probably best known for playing Janice Soprano, sister of New Jersey mob boss Tony Soprano, on the HBO TV series The Sopranos.","Brooklyn, New York, USA",/hvQKy8ZdeWWVBgLbeczkm0kyAgU.jpg
620,,Acting,,158777,Cherie Franklin,0,,,/fJGJD3kswC51uBOrzkcauPaaNMu.jpg
621,1966-02-27,Acting,,10825,Donal Logue,2,"Donal Francis Logue (born February 27, 1966) is an Irish-Canadian film and television actor, producer and writer. His notable roles include starring in the film The Tao of Steve, Sons of Anarchy, Vikings, the sitcom Grounded for Life, the television series Copper and the detective series Terriers. He currently stars as detective Harvey Bullock in Fox's Gotham and had a recurring role in NBC's Law &amp; Order: Special Victims Unit as Lt. Declan Murphy.

Description above from the Wikipedia article Donal Logue, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Ottawa, Ontario, Canada",/h0JZ8Hyc9p6sY2jQeJkDcax6UY3.jpg
622,1947-02-18,Acting,,152638,Gene Borkan,2,,,
623,1950-05-10,Directing,,52629,Joseph Ruben,2,"From Wikipedia, the free encyclopedia.

Joseph Paul Ruben (born May 10, 1950 in Briarcliff Manor, New York) is an American film director, screenwriter, and producer.

Description above from the Wikipedia article Joseph Ruben, licensed under CC-BY-SA, full list of contributors on Wikipedia","Briarcliff, New York, USA",/ic4WkiH78PdkmxEE6i50DV8V49T.jpg
624,1982-04-30,Acting,,205,Kirsten Dunst,1,"Kirsten Caroline Dunst (born April 30, 1982) is an American actress, singer and model. She made her film debut in Oedipus Wrecks, a short film directed by Woody Allen for the anthology New York Stories (1989). At the age of 12, Dunst gained widespread recognition playing the role of vampire Claudia in Interview with the Vampire (1994), a performance for which she was nominated for a Golden Globe Award for Best Supporting Actress. The same year she appeared in Little Women, to further acclaim. Dunst achieved international fame as a result of her portrayal of Mary Jane Watson in the Spider-Man trilogy (2002–07). Since then her films have included the romantic comedy Wimbledon (2004), the romantic science fiction Eternal Sunshine of the Spotless Mind (2004) and Cameron Crowe's tragicomedy Elizabethtown (2005). She played the title role in Sofia Coppola's Marie Antoinette (2006) and starred in the comedy How to Lose Friends &amp; Alienate People (2008). She won the Best Actress Award at the Cannes Film Festival in 2011 for her performance in Lars von Trier's Melancholia.

In 2001, Dunst made her singing debut in the film Get Over It, in which she performed two songs. She also sang the jazz song ""After You've Gone"" for the end credits of the film The Cat's Meow (2001).

Description above from the Wikipedia article Kirsten Dunst, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Point Pleasant, New Jersey, USA",/5dI5s8Oq2Ook5PFzTWMW6DCXVjm.jpg
625,1964-06-09,Acting,,21369,Gloria Reuben,1,"Gloria Reuben (born June 9, 1964) is a Canadian singer and actress of film and television, known for her role as Jeanie Boulet on the popular hit medical drama ER and for her role of Rosalind Whitman in the TV show Raising the Bar.",Toronto - Ontario - Canada,/z0FzEdJo8XnPGTS8pQcl10lpsNZ.jpg
626,1965-11-19,Acting,,35862,Douglas Henshall,0,"Douglas Henshall was born in Glasgow, Scotland in November 1965. His mother was a nurse and his father a salesman. He is the youngest of three children and has two older sisters. He grew up in Barrhead and attended Barrhead High School. Whilst at school a friend asked him to join The Scottish Youth Theatre based in Glasgow. After leaving school, he moved to London to train at Mountview Theatre School. He returned to Glasgow after training where he joined the 7:84 theater company. Eventually, he went back to live in London where he received critical acclaim for his theater work, notably ""Life of Stuff"" at the Donmar Warehouse (1993) and ""American Buffalo"" at the Young Vic (1997).  One of his first successful film roles was as Edgar in 

Angels and Insects (1995) before going on to star in Orphans (1998), The Man with Rain in His Shoes (1998), Lawless Heart (2001) and It's All About Love (2003) .  He has also starred in many television series and is known for his roles in 

Psychos(1999), Kid in the Corner (1999), Loving You (2003) and Frances Tuesday (2004).  Douglas has also performed in plays for BBC radio, including the role of Romeo in ""Romeo and Juliet (1999), David in ""The Long Farewell"" (2002), Jack Parlabane in ""Bampot Central"" (2004) and Richard in ""Richard III"" (2004).  In the summer of 2002, Douglas returned to the London stage where he performed the role of Michael Bakunin in 

Tom Stoppard's new trilogy of plays, 'The Coast of Utopia', at The National Theatre.  During 2004 he continued stage work starring as John Proctor in 'Arthur Miller' 's 'The Crucible' at The Crucible in Sheffield and Thomas Huxley in 'Darwin in Malibu' by Crispin Whittell, at the Hampstead Theatre.  In 2005 Douglas made his West End debut at The Lyric, Shaftesbury Avenue playing Biff Loman in the critically acclaimed production of Arthur Miller' 's play 'Death of a Salesman', alongside 

Brian Dennehy.","Glasgow, Scotland, UK",/ofbU3w8hlafOJfQ1uiAwjL1QSRw.jpg
627,1973-01-14,Acting,,21294,Katie Griffin,1,,"Toronto, Ontario,  Canada",/llNIbVhxJQxF5uhZBiM4YVqlQO4.jpg
628,1984-12-25,Acting,,69301,Hal Scardino,2,,"Savannah, Georgia, USA",/q8TX9vJfLSzYDztSIDmz1ao002t.jpg
629,,Acting,,71858,Jerry Tondo,2,,,/ui6AU4y7GrlDwNLgN46kRcKppf7.jpg
630,,Acting,,1077235,Carol Florence,1,"Carol Florence is an American actress who has had a number of minor roles in some high profile Hollywood films. She has a reputation for playing nurses or doctors. She appeared in the 1995 film 12 Monkeys as an astrophysicist. In 2001 she provided a voice to Ocean's Eleven. In 2005, she appeared in the Cameron Diaz film In Her Shoes as a woman walking her dog.",,/lYwrz91yKY0uCRa6Fjcvab2QG6r.jpg
631,1947-11-13,Acting,,3266,Joe Mantegna,2,"​From Wikipedia, the free encyclopedia

Joseph Anthony “Joe” Mantegna, Jr. (born November 13, 1947) is an American actor, producer, writer and director. He is best known for his roles in box-office hits such as Three Amigos (1986), The Godfather Part III (1990), Forget Paris (1995) and Up Close &amp; Personal (1996). He currently stars in the CBS television series Criminal Minds as FBI Special Agent David Rossi.

Mantegna has gained Emmy Award nominations for his roles in three different miniseries, The Last Don (1997), The Rat Pack (1999) and The Starter Wife (2007). Mantegna served as executive producer for various movies and television movies, such as Corduroy (1984), Hoods (1998), and Lakeboat (2000), which he also directed.

On television, Mantegna starred in the short lived series First Monday (2002) and Joan of Arcadia (2003–2005). Since the 1991 episode ""Bart the Murderer"", Mantegna has had a recurring role on the animated comedy series The Simpsons as mob boss Fat Tony, reprising the role in The Simpsons Movie (2007). He also played Robert B. Parker's fictional detective Spenser in three made-for-TV movies between 1999 and 2001.

Description above from the Wikipedia article Joe Mantegna, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Chicago, Illinois, USA",/ltiEDmkciymyMfnju7yeIM2NoYf.jpg
632,,Writing,,1183659,Davidlee Willson,0,,,
633,1965-10-26,Acting,,47757,Kelly Rowan,1,"Kelly Rowan (born October 26, 1965) is a Canadian television and film actress and former fashion model. She is best known for portraying Kirsten Cohen on The O.C.

From Wikipedia, the free encyclopedia.",Ottawa - Ontario - Canada,/uxrGUfhLtqZXhy35r4RsHpZNz6Z.jpg
634,1915-01-29,Acting,2004-01-17,156411,Albert Henderson,2,,"New York, New York, U.S.A.",/6MJrBpBpHYtemSHqGGeYmtkSHYT.jpg
635,1966-05-26,Acting,,1283,Helena Bonham Carter,1,"Helena Bonham Carter (born 26 May 1966) is an English actress of film, stage, and television. She made her film debut in K. M. Peyton's A Pattern of Roses before winning her first leading role as the titular character in Lady Jane. She is known for her roles in films such as A Room with a View, Fight Club, and the Harry Potter series, as well as for frequently collaborating with director Tim Burton, her domestic partner since 2001. Bonham Carter is a two-time Academy Award nominee for her performances in The Wings of the Dove and The King's Speech; her portrayal of Queen Elizabeth in the latter film garnering her a BAFTA Award in 2011.

Description above from the Wikipedia article Helena Bonham Carter, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Golders Green, London, England, UK",/rHZMwkumoRvhKV5ZvwBONKENAhG.jpg
636,1968-06-04,Acting,,24965,Scott Wolf,2,"​From Wikipedia, the free encyclopedia.  

Scott Richard Wolf (born June 4, 1968) is an American actor, known for his roles on the television series Party of Five as Bailey Salinger and on Everwood as Dr. Jake Hartman. Since 2009, he has appeared in the Sci-Fi series V as the morally ambiguous journalist, Chad Decker.",Boston - Massachusetts - USA,/irmODdvrL16lTumtDRN3z99QO1c.jpg
637,1957-10-17,Production,,2545,Lawrence Bender,2,,,/5EzlP8qdCYQrhqEYB2MTmY74KFB.jpg
638,1981-09-08,Acting,,53283,Jonathan Taylor Thomas,2,"Jonathan Taylor Thomas is an American actor, voice actor, former child star, and teen idol.

He is well known for his role of middle child Randy Taylor on the sitcom Home Improvement, as Tom Sawyer in the Disney film Tom and Huck, and as the voice of the young Simba in Disney's The Lion King.","Bethlehem, Pennsylvania, USA",/E4cAiS5ge08euPEXrGLKhQX7cj.jpg
639,1941-05-18,Acting,,6199,Miriam Margolyes,1,"An English actress and voice artist. Her earliest roles were in theatre and after several supporting roles in film and television she won a BAFTA Award for her role in The Age of Innocence (1993).

Description above from the Wikipedia article Miriam Margolyes, licensed under CC-BY-SA,full list of contributors on Wikipedia.","Oxford, England, UK",/6TJwVMMoGzAfvb0G0s8gNBrlAST.jpg
640,1962-11-11,Acting,,56101,Gerard Horan,2,,"Stockport, Cheshire, England, UK",/fsF6Ruuf9DrTllqMaDx5aJpFiaX.jpg
641,,Acting,,1211929,Shaun Prendergast,0,,,/3IMUCBXLXb7KRvRBWqH9MVVxupo.jpg
642,,Acting,,1218074,Abby Lewis,0,,,
643,,Acting,,1181951,Megan Hughes,1,,,
644,1961-08-30,Acting,,36898,Ely Pouget,1,"Ely Pouget was born on August 30, 1961 in New Jersey, USA as Elizabeth Pouget.","New Jersey, USA ",/fju651IWKx5GChtBIKqJgan9mI0.jpg
645,1939-08-02,Directing,2015-08-30,5140,Wes Craven,2,"Wesley Earl ""Wes"" Craven (August 2, 1939 – August 30, 2015) was a prolific and influential American film director, writer, producer, and actor known for his pioneering work in the genre of horror films, particularly slasher films. Due to the success and cultural impact of his works in the horror film genre, Craven has been called the ""Master of Horror"".

Description above from the Wikipedia article Jeremy Renner, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Cleveland, Ohio, USA",/vffssPtgNn2ZwoMfLCCDJAxlXGI.jpg
646,,Acting,,37336,Kimberly Blair,0,,,
647,,Directing,,1366946,Jack Henry Robbins,0,,,
648,,Acting,,553774,Claudia Haro,0,,,/1XPYBTNuNVl01zjd19U4vZA4zqs.jpg
649,,Acting,,7424,Oscar Goodman,2,,,/9YTT2HozwL6g01HuBezUBUdO3IA.jpg
650,,Acting,,158324,Andrew Steel,2,,,
651,1944-03-24,Acting,2018-04-15,8655,R. Lee Ermey,2,"From Wikipedia, the free encyclopedia.

Ronald Lee Ermey (March 24, 1944 – April 15, 2018) was a retired United States Marine Corps drill instructor and actor.

Ermey often played the roles of authority figures, such as his breakout performance as Gunnery Sergeant Hartman in Full Metal Jacket, Mayor Tilman in the Alan Parker film Mississippi Burning, Bill Bowerman in Prefontaine, Sheriff Hoyt in The Texas Chainsaw Massacre remake, and plastic army men leader Sarge in the Toy Story films.

He hosted two programs on the History Channel: Mail Call, in which he answered viewers' questions about various militaria both modern and historic; and Lock N' Load with R. Lee Ermey, which focused on the development of different types of weapons.

He was a candidate for the National Rifle Association board of directors.

Description above from the Wikipedia article R. Lee Ermey, licensed under CC-BY-SA, full list of contributors on Wikipedia.","Emporia, Kansas, USA",/r8GBqFBjypLUP9VVqDqfZ7wYbSs.jpg
652,1967-06-19,Acting,,25658,Chris Larkin,2,,"London, England, UK",/kjVq9FK96gIwcfDxyB3ILMIjfvh.jpg
653,1958-04-29,Acting,,103853,Marc Coppola,2,,USA,/l8YGHou6dX58YvW3AZkEixnmwFX.jpg
654,1973-07-20,Acting,,4987,Omar Epps,2,"Omar Hashim Epps (born July 20, 1973) is an American actor, singer, songwriter, and record producer. His film roles include Juice, Major League II, Higher Learning, Scream 2, The Wood, In Too Deep, and Love and Basketball. Epps' television work includes the role of Dr. Dennis Gant on the US medical drama series ER, and since 2004 Dr. Eric Foreman on the Fox medical drama series House which earned him a NAACP Image Award in 2007 and 2008 for Outstanding Supporting Actor in a Drama Series.","Brooklyn, New York, USA",/t4Qg5ANKK2idfOt4RzWzhiP7IEv.jpg
655,,Acting,2018-04-04,1242148,Ron White,2,"Ron White was born in Dawson Creek, British Columbia, Canada. He is an actor.","Dawson Creek, British Columbia, Canada",/rxM6b0zqJE2eb913zm8RSqSxKX2.jpg
656,1948-07-20,Acting,,17348,Muse Watson,2,"From Wikipedia, the free encyclopedia.

Muse Watson (born July 20, 1948) is an American actor.",Alexandria - Louisiana - USA,/f7SZHWqYqAndyA7BAcVBonkP3jQ.jpg
657,,Acting,,6109,Stuart Reynolds ,2,,,
658,,Acting,,1387300,Mohammad Shahani,0,,,
